roll	type	description
1	Resonance test	Sutensai acolyte administers mandatory resonance alignment test to travelers
2	Ironclad patrol	Sutensai-aligned Ironclad escorts party through the reach; evaluating them
3	Temple trial	Party invited to undertake a minor temple trial; reward is a certification mark
4	Theological debate	Local scholar challenges party understanding of the Sutensai revelation
5	Korrath agent	Disguised Korrath scout mapping Iron Teeth defenses
6	Cinder priest revelation	A priest breaks orthodoxy to share a secret about the Hollow Author in the Order
7	Chars Voice messenger	Cryptic message delivered from the presumed leader of the Sutensai Order
8	Resonance predator	Creature that feeds on resonance energy attacks near the temple perimeter
9	Ironclad schism	Two Ironclad units with conflicting oath interpretations ask party to arbitrate
10	Temple archive access	Party gains access to historical records about the prior Convergence cycle
