id	title	category	description	inventory_width	inventory_height
item_basic_maintenance_kit	Basic Maintenance Tools	gear	Required for proper long-rest servicing of Forged chassis.	1	1
item_forged_reinforced_limb	Reinforced Limb Module	augmentation	Grants stronger unarmed strikes and athletics leverage. Raise unarmed die to 1d6.	1	1
item_forged_optical_suite	Optical Suite Module	augmentation	Grants darkvision 60ft and protection against surprise.	1	1
item_forged_vox_modulator	Vox Modulator Module	augmentation	Grants precision vocal mimic capability and Vox Mimic card.	1	1
item_forged_subdermal_plating	Subdermal Plating Module	augmentation	Grants natural AC 13 baseline while unarmored.	1	1
item_forged_neural_accelerator	Neural Accelerator Module	augmentation	Grants bonus-action Ready capability cadence.	1	1
item_forged_intake_filter	Intake Filter Module	augmentation	Grants poison and disease defense package.	1	1
item_forged_hydraulic_frame	Hydraulic Frame Module	augmentation	Doubles carry capacity and improves grapple profile.	1	1
item_resonant_blade	Resonant Blade	weapon	Primary class weapon: long or short configuration.	2	1
item_voidsteel_tanto	Voidsteel Tanto	weapon	Secondary blade; dark resonant metal.	1	1
item_circuit_lance	Circuit Lance	weapon	Class-proficient polearm variant with resonant tip.	2	2
item_iron_whip	Iron-Whip	weapon	Flexible resonant weapon option; reach and Bleed potential.	2	1
item_force_mace	Force Mace	weapon	Class-proficient impact weapon.	1	2
item_wire_mesh_armor	Wire-Mesh Armor	armor	Starter light armor option; wire-silk composite.	2	2
item_layered_plate_armor	Layered Plate Armor	armor	Heavy starter armor option.	2	3
item_resonant_shield	Resonant Shield	armor	Class-proficient shield.	2	2
item_oath_mark_lord_seal	Lord's Seal	symbol	Oath marker object for Ironclad Iron Lord path; narrative and social checks.	1	1
item_oath_mark_sutra_medallion	Sutra Medallion	symbol	Oath marker object for Ironclad Sutensai Blade path; narrative and social checks.	1	1
item_forge_maintenance_kit_basic	Forge Maintenance Kit Basic	gear	Required for resonance meditation and field upkeep.	1	1
item_trade_metal_pouch_15	Trade-Metal Pouch 15	currency	Starting currency bundle equivalent.	1	1
item_artifact_unnamed_fragment	The Unnamed Fragment	artifact	A resonant metal shard of impossible age containing the first Echomind resonance. Grants sensory ability and immunity to deception; bearer's memories blur with accumulated impressions.	1	1
item_artifact_teaching_hand	The Teaching Hand	artifact	A resonant gauntlet holding sixty years of teaching knowledge. Enhances instruction and protects students; requires demonstrated teaching experience to activate.	2	1
item_artifact_weeper_remnant	Weeper's Remnant	artifact	A necklace of seven dark resonant beads forged from a god's grief. Bearer perceives emotional truth and channels healing tears; carries constant weight of others' suffering.	1	1
item_artifact_patience_dial	The Patience Dial	artifact	A perfect disk rotating once every four hundred years. Bearer gains defensive precision and temporal immunity; loses sense of urgency.	1	1
item_artifact_broken_crown	The Broken Crown	artifact	Seven shards of a shattered resonant amplifying crown. Bearer senses loyalty states and can issue compelling commands; carries the grief of command's weight.	1	1
item_artifact_last_thirty_seconds	The Last Thirty Seconds	artifact	A sealed cylinder containing an incomprehensible speech. Bearer gains truth-speaking authority and message broadcast capability; becomes increasingly unable to speak indirectly.	1	1
item_relic_first_tooth	The First Tooth (Korrath)	relic	A curved resonant blade with twenty-three names etched in the hilt. Provides combat memory and blade recognition; bearer hears voices of the dead.	2	2
item_document_salvage_manifesto	The Salvage Manifesto (Korrath)	document	Fourteen handwritten pages of military doctrine and logistics strategy. Grants tactical analysis and force multiplication; only effective for commanders with genuine loss.	1	1
item_relic_last_flesh	The Last Flesh (Korrath)	relic	A sealed container of preserved biological tissue; the only anchor preventing Korrath's Ascension. Cannot be integrated; treat with extreme care.	1	1
item_relic_first_removal	The First Removal (Vaen)	relic	An extracted cybernetic auditory enhancement. Grants enhanced perception of intentions and clarity against control effects; bearer loses ability to ignore pain.	1	1
item_document_unsent_letter	The Unsent Letter (Vaen)	document	A handwritten letter to a dead woman containing unfiltered fear and doubt. Bearer gains insight into hidden motivations; carries awareness of all costs of their actions.	1	1
item_tool_control_sigil	The Control Sigil (Hollow Author)	tool	A dark metal disk detecting puppet bodies under remote influence. Grants puppet detection and temporary disruption; prolonged use alerts the Author to location.	1	1
item_construct_freed_shell	The Freed Shell (Hollow Author)	gear	A humanoid puppet body freed from Author control, developing independent consciousness. Functional NPC companion capable of self-directed growth.	2	3
item_artifact_original_face	The Original Face (Hollow Author)	artifact	A resonant mask worn by the Author before transformation. Grants Author pattern recognition and access to original identity memories; bearer experiences grief of transformation.	1	1
item_augmentation_widows_architecture	Widow's Architecture	augmentation	Full forearm replacement with three concealed blades. Provides Pierce attacks and additional strikes; requires forearm amputation.	2	2
item_augmentation_convergence_engine	The Convergence Engine	augmentation	Shoulder/arm replacement with pulse-arm discharge. Provides ranged force attacks and overcharge capability; requires doubled food consumption.	2	2
item_augmentation_hollow_strike_array	Hollow Strike Array	augmentation	Full leg replacement (both legs) with silent operation and strike surfaces. Extended movement and kinetic conversion; requires hip socket modification.	2	3
item_augmentation_patient_eye	The Patient Eye	augmentation	Single eye optical system with predictive analysis. Provides guaranteed ranged hit and motion prediction; contains locked surveillance footage from previous user.	1	1
item_augmentation_threadwalker_interface	Threadwalker Interface	augmentation	Spinal neural enhancement for direct Wire Craft network interface. Grants network immersion and signal reading; high-risk cervical modification.	1	2
