id	title	category	source_file	description
doc_race_forged_overview	The Forged - Overview	character_options	races/01_the_forged.md	Lore-forward race reference text for players.
doc_race_forged_roleplay	The Forged - Roleplaying Notes	character_options	races/01_the_forged.md	Guidance on identity, upgrades, and social positioning.
doc_race_forged_war_context	The Forged - Ascension War Context	reference	races/01_the_forged.md	Faction pressure and campaign integration notes.
doc_class_ironclad_overview	Ironclad Samurai - Overview	character_options	classes/01_ironclad_samurai.md	Core lore and class fantasy.
doc_class_ironclad_world_context	Ironclad Samurai - In the World	character_options	classes/01_ironclad_samurai.md	Social and institutional role in Tesshari.
doc_class_ironclad_roleplay	Ironclad Samurai - Roleplaying	character_options	classes/01_ironclad_samurai.md	Obligation and code-driven roleplay guidance.
doc_class_ironclad_war_context	Ironclad Samurai - Ascension War Context	reference	classes/01_ironclad_samurai.md	Claimant alignment pressures and campaign stakes.
doc_race_tethered_overview	The Tethered - Overview	character_options	races/02_the_tethered.md	Biological flesh-dominant beings; the old model; deeply political in Tesshari society.
doc_race_tethered_roleplay_symbol	The Tethered - Weight of Being a Symbol	character_options	races/02_the_tethered.md	Guidance on navigating the political and symbolic burden of Tethered identity.
doc_race_tethered_roleplay_faith	The Tethered - The Old Breath	character_options	races/02_the_tethered.md	Secret faith traditions maintained outside Sutensai orthodoxy.
doc_race_tethered_roleplay_longing	The Tethered - The Longing and the Pride	character_options	races/02_the_tethered.md	Emotional and social navigation of pride and grief under Tethered identity.
doc_race_echoed_overview	The Echoed - Overview	character_options	races/03_the_echoed.md	Beings who returned from the Iron Afterlife; the gap in memory and what was carried back.
doc_race_echoed_roleplay_gap	The Echoed - The Gap	character_options	races/03_the_echoed.md	The blank period and what it means to build identity around an absence.
doc_race_echoed_roleplay_contamination	The Echoed - Memory Contamination	character_options	races/03_the_echoed.md	Carried Things: impressions from other consciousnesses encountered in the Afterlife.
doc_race_echoed_roleplay_permission	The Echoed - The Permission to Still Live	character_options	races/03_the_echoed.md	Emotional framework for continuing after death; survivor's questions.
doc_race_wireborn_overview	The Wireborn - Overview	character_options	races/04_the_wireborn.md	Born in or deeply integrated with Wire Craft networks; digital-biological beings.
doc_race_wireborn_roleplay_presence	The Wireborn - The Problem of Presence	character_options	races/04_the_wireborn.md	How Wireborn experience physical presence vs. digital existence.
doc_race_wireborn_roleplay_archive	The Wireborn - The Hollow Archive	character_options	races/04_the_wireborn.md	What lives in the network and what the Wireborn can access and what costs them.
doc_race_wireborn_roleplay_self	The Wireborn - Consciousness in Split State	character_options	races/04_the_wireborn.md	Identity questions when consciousness can exist in multiple states.
doc_race_stitched_overview	The Stitched - Overview	character_options	races/05_the_stitched.md	Assembled beings from multiple sources; modular, drifting, and deeply misread.
doc_race_stitched_roleplay_provenance	The Stitched - The Provenance Question	character_options	races/05_the_stitched.md	What it means to be assembled from others; ownership and identity.
doc_race_stitched_roleplay_social	The Stitched - Social Cost	character_options	races/05_the_stitched.md	The discomfort and unease others feel around Stitched presence.
doc_race_stitched_roleplay_drift	The Stitched - What the Drift Is Teaching You	character_options	races/05_the_stitched.md	The slow biological/mechanical adaptation; what it reveals about who you are becoming.
doc_race_shellbroken_overview	The Shellbroken - Overview	character_options	races/06_the_shellbroken.md	Formerly controlled by the Hollow Author; severed but marked; building identity from evidence.
doc_race_shellbroken_roleplay_evidence	The Shellbroken - The Evidence Problem	character_options	races/06_the_shellbroken.md	Accountability for actions taken during the gap; provisional self-responsibility.
doc_race_shellbroken_roleplay_trust	The Shellbroken - Trusting the Companions	character_options	races/06_the_shellbroken.md	How to extend provisional trust after betrayal was possible.
doc_race_shellbroken_roleplay_identity	The Shellbroken - Identity Under Construction	character_options	races/06_the_shellbroken.md	Identity Tokens as active mechanic; what you choose to stand for.
doc_race_iron_blessed_overview	The Iron Blessed - Overview	character_options	races/07_the_iron_blessed.md	Resonant metal formations spontaneously growing from flesh; spiritually significant and surveilled.
doc_race_iron_blessed_roleplay_gift	The Iron Blessed - Gift and Burden	character_options	races/07_the_iron_blessed.md	Blessing vs. curse language and the cost of spiritual significance.
