roll	type	description
1	Pilgrimage traveler	Follower of Vaen shares visions and asks party to join the walk
2	Dissolution zone	Area where reality thins; Echoed hear voices, Shellbroken feel pulled toward the Gap
3	Vaen sighting	Distant glimpse of Vaen; pursuit leads to an abandoned campsite with a message
4	Wire Market scout	Merchant assessing Veilward; nervously watching Pilgrimage movements
5	Hollow Author proxy	NPC behaving strangely; carrying a page of the Manuscript; denies knowing what it is
6	Echoed community	Village of Echoed settled near a resonance thin-point; protective of their space
7	Iron Sutra investigator	Orthodoxy agent tracking unregistered enhancements through Veilward
8	Shore of Last Words	Party arrives at the coast where the Gap is visible; strange compulsion mechanics
9	Ruined citadel guardian	Prior-cycle remnant defends the citadel; not fully hostile; bound by ancient oath
10	Vaen's trail	Physical evidence of Vaen's passage; interacting reveals the next step of the Pilgrimage
