roll	type	description
1	Iron Sutra checkpoint	Orthodoxy inspection; demands enhancement registration papers
2	Wire Market deal	Guild representative offers a lucrative contract with unstated risks
3	Information broker	Neutral party selling verified intel about all three claimants; price is high
4	Hollow Author contact	Someone passes a note; it contains information the party should not have
5	Guild enforcer	Craftbound guild collecting debt from a local; party can intervene or observe
6	Preparation Halls access	Opportunity to enter the Halls; contains restricted Sutensai archives
7	Resonance merchant	Sells black-market enhancements; Iron Sutra closing in on their location
8	Caste dispute	Voided individual being denied services; party response affects faction reputation
9	Deep Temple envoy	Sutensai priest invites party to the Deep Temple for an evaluation
10	Wire Market auction	Rare prior-cycle artifact being auctioned; multiple factions sending agents
