# Forge Tender staging cards — generated 2026-04-21
# Existing L1 pool already has 11 cards (combat/utility/defense/control/reaction).
# Capstone already exists: card_forge_tender_the_body_is_the_temple.
# This file adds the missing tiers.

# ===== L1 Core (1 new; fills gap to 12) =====
card_forge_tender_listen_to_the_anvil	Listen to the Anvil	Passive: once per encounter, the first time an ally's weapon or augment would break, the Forge Tender hears it cry and the break is held off one round.	passive	1	1		"{""apCost"":""0"",""playLimitPerTurn"":""1"",""isCard"":""true"",""isBasicAttack"":""false"",""aiTag"":""""}"

# ===== L2 Level-Up (2 cards) =====
card_forge_tender_bellows_breath	Bellows Breath	Draw a slow breath and exhale onto an ally's gear; their next SIGNAL or RESONANCE check this round burns cleaner and hotter.	level_up	1	1		"{""apCost"":""1"",""playLimitPerTurn"":""1"",""isCard"":""true"",""isBasicAttack"":""false"",""aiTag"":""""}"
card_forge_tender_name_the_metal	Name the Metal	Whisper the true name of a foe's weapon or armor; while you hold the name, your strikes against that piece bite deeper and it resists its wielder.	level_up	1	1		"{""apCost"":""1"",""playLimitPerTurn"":""1"",""isCard"":""true"",""isBasicAttack"":""false"",""aiTag"":""""}"

# ===== L3 Subclass: Resonance Keeper (4 cards) — living forges, intent over flame =====
card_forge_tender_resonance_keeper_heat_without_fire	Heat Without Fire	Place a hand on a blade and pour RESONANCE into it; the metal glows without flame and the next ally attack with it lands as searing.	subclass_resonance_keeper	1	1		"{""apCost"":""1"",""playLimitPerTurn"":""1"",""isCard"":""true"",""isBasicAttack"":""false"",""aiTag"":""""}"
card_forge_tender_resonance_keeper_tuning_strike	Tuning Strike	Tap a foe's armor at its resonant note; the plate rings like a struck bell and nearby allies hear where it is weakest.	subclass_resonance_keeper	1	1		"{""apCost"":""1"",""playLimitPerTurn"":""1"",""isCard"":""true"",""isBasicAttack"":""false"",""aiTag"":""""}"
card_forge_tender_resonance_keeper_living_forge	The Living Forge	Plant your forge-stake on the ground; while it stands, allies within reach repair passively at the start of each round.	subclass_resonance_keeper	1	1		"{""apCost"":""2"",""playLimitPerTurn"":""1"",""isCard"":""true"",""isBasicAttack"":""false"",""aiTag"":""""}"
card_forge_tender_resonance_keeper_temper_the_hand	Temper the Hand	Run your palm along an ally's weapon; it sheds fatigue and sings. Their next attack this turn cannot be parried.	subclass_resonance_keeper	1	1		"{""apCost"":""1"",""playLimitPerTurn"":""1"",""isCard"":""true"",""isBasicAttack"":""false"",""aiTag"":""""}"
