roll	type	description
1	Military patrol	Korrath conscription squad checks papers; demands proof of caste registration
2	Fracture scarring	Party encounters unstable resonance zone; exposure risk or navigation challenge
3	Deserter	Ironblood soldier seeks passage out of Sunder; has intel but is being pursued
4	Ambush	Ashwalker resistance cell mistakes party for Korrath agents
5	Supply convoy	Korrath war supplies moving through; opportunity for theft or intelligence
6	Broken Forged	Degraded chassis unit abandoned by Korrath forces; needs help or is hostile
7	Cinder priest	Sutensai agent observing Korrath movements; will trade information for escort
8	Korrath loyalist	True believer confronts party about their faction allegiances
9	Iron Herald advance scout	Testing party for potential recruitment into Korrath forces
10	Engine Scar phenomenon	Strange resonance event near the scar; tied to prior-cycle remnant
